Moniker,Main Url,Bias,Reliability,Mediatype,has_wikipedia_page,wikipedia_title,wikipedia_avg_daily_views,wikipedia_interest_score,source_prominence_score,robust_influence_score
Timcast IRL,https://timcast.com/channel/timcast-irl/,23.83,9.9,Podcast/Audio,True,Tim Pool,1506.0,15.057377049180326,30,19.54
Time Magazine,http://time.com/,-7.43,41.1,Web/Articles,True,Time (magazine),1497.0,14.971857923497268,30,19.48
TMZ,http://tmz.com,-4.4,34.6,Web/Articles,True,TMZ,985.0,9.847841530054644,90,33.89
Townhall,http://townhall.com,19.52,25.05,Web/Articles,True,Townhall,55.0,0.5535792349726776,30,9.39
Truthout,https://truthout.org/,-16.87,33.35,Web/Articles,True,Truthout,65.0,0.6525136612021858,30,9.46
Turning Point USA,http://tpusa.com,16.97,20.6,Web/Articles,True,Turning Point USA,1092.0,10.91860655737705,30,16.64
Twitchy,https://twitchy.com/,20.93,17.83,Web/Articles,True,Twitchy,34.0,0.3368032786885246,30,9.24
TYT: The Conversation,https://www.youtube.com/@TYTConversation,-24.17,21.52,TV/Video,False,,,0.0,30,9.0
TYT: The Young Turks,http://tyt.com,-24.79,25.44,TV/Video,False,,,0.0,30,9.0
UPI,http://upi.com,-1.15,45.37,Web/Articles,True,United Press International,215.0,2.1489890710382515,30,10.5
Upworthy,http://upworthy.com,-5.57,39.86,Web/Articles,True,Upworthy,42.0,0.4219398907103825,30,9.3
US News and World Report,https://usnews.com,-2.99,43.68,Web/Articles,True,U.S. News & World Report,583.0,5.834890710382513,50,19.08
USA Today,https://www.usatoday.com/,-3.8,40.87,Web/Articles,True,USA Today,621.0,6.20775956284153,90,31.35
USAFacts,http://usafacts.org,-0.05,50.24,Web/Articles,True,USAFacts,92.0,0.9197267759562842,30,9.64
Vanity Fair,https://www.vanityfair.com/,-13.86,33.29,Web/Articles,False,,,0.0,30,9.0
Vogue,http://vogue.com,-10.91,39.13,Web/Articles,True,Vogue (magazine),1136.0,11.356857923497268,30,16.95
Vox,https://www.vox.com/,-10.01,39.66,Web/Articles,True,Vox (website),455.0,4.55431693989071,70,24.19
Wall Street Journal,https://www.wsj.com/,4.18,43.34,Web/Articles,True,The Wall Street Journal,1439.0,14.38844262295082,30,19.07
Washington Examiner,https://www.washingtonexaminer.com/,11.28,34.0,Web/Articles,True,Washington Examiner,234.0,2.3369945355191257,30,10.64
Washington Monthly,https://washingtonmonthly.com/,-12.08,35.78,Web/Articles,True,Washington Monthly,48.0,0.483224043715847,30,9.34
Washington Post,https://www.washingtonpost.com,-7.08,38.67,Web/Articles,True,The Washington Post,2242.0,22.4174043715847,90,42.69
Washington Times,https://www.washingtontimes.com,11.59,33.5,Web/Articles,True,The Washington Times,339.0,3.3925956284153007,30,11.37
Western Journal,http://westernjournal.com,19.5,21.26,Web/Articles,True,The Western Journal,83.0,0.8334699453551913,30,9.58
WIRED,http://wired.com,-7.29,37.18,Web/Articles,True,Wired (magazine),359.0,3.5921857923497265,30,11.51
WND,https://www.wnd.com/,21.12,13.14,Web/Articles,True,WorldNetDaily,156.0,1.5613387978142077,30,10.09
Wonkette,https://www.wonkette.com/,-24.99,20.15,Web/Articles,True,Wonkette,24.0,0.24005464480874317,30,9.17
World News Group,http://wng.org,7.34,41.25,Web/Articles,True,World (magazine),39.0,0.3887158469945355,50,15.27
World Socialist Web Site,http://wsws.org,-25.91,29.1,Web/Articles,True,World Socialist Web Site,85.0,0.8541803278688525,30,9.6
WSJ: Potomac Watch,https://www.wsj.com/podcasts/opinion-potomac-watch,2.33,41.07,Podcast/Audio,True,The Wall Street Journal,1439.0,14.38844262295082,30,19.07
WSJ: The Journal.,https://www.wsj.com/podcasts/the-journal,-0.5,47.11,Podcast/Audio,True,The Wall Street Journal,1439.0,14.38844262295082,30,19.07
ZeroHedge,http://zerohedge.com,16.57,20.7,Web/Articles,True,Zero Hedge,521.0,5.2092896174863395,30,12.65
